,0
SR_Number,1-715642734
Status,-309.46485591544166
ACTIVITY,-11.0136011934409
Involved_ST_Function_Div,-94.16162468473401
Involved_Org_line_3,-270.9982329826906
Involved_ST,-140.40278934514828
SR_Latest_Impact,-412.48312797803015
Product,-645.4209039800351
Country,-298.6453943069791
Owner_Country,-366.8336189780515
time_from_start,-488.833461324834
time_from_previous_event(start),4.498852575515678
daytime,14137.50546407242
weekday,-5.667046541662383
# ACTIVITY=In Progress,-44.285268051695844
# ACTIVITY=Awaiting Assignment,40.573888271865236
# ACTIVITY=Resolved,5.7182980751349435
# ACTIVITY=Assigned,40.02864272717939
# ACTIVITY=Closed,1.9052118167445458
# ACTIVITY=Wait - User,17.061351700031235
# ACTIVITY=Wait - Implementation,8.140476100887954
# ACTIVITY=Wait,26.783818718333738
# ACTIVITY=Wait - Vendor,1.076530439064915
# ACTIVITY=In Call,-0.03722067692185393
# ACTIVITY=Wait - Customer,0.4480284261702207
# ACTIVITY=Unmatched,3.7774435316961366e-06
# ACTIVITY=Cancelled,0.0
