,0
SR_Number,1-699557832
Status,-241.58662626029428
ACTIVITY,62.650855129569116
Involved_ST_Function_Div,-61.252782824364694
Involved_Org_line_3,-169.74162973753636
Involved_ST,-121.16967603374461
SR_Latest_Impact,950.0510767226544
Product,-474.5041556944345
Country,106.54736296745236
Owner_Country,-347.66308168764067
time_from_start,-395.3819424844563
time_from_previous_event(start),-11.408884287591759
daytime,16063.98957688616
weekday,-7.61390596802949
# ACTIVITY=In Progress,-4.749226773752987
# ACTIVITY=Awaiting Assignment,13.941694637055729
# ACTIVITY=Resolved,4.432033416862378
# ACTIVITY=Assigned,44.76989886086445
# ACTIVITY=Closed,2.7814258121809443
# ACTIVITY=Wait - User,11.90186836218037
# ACTIVITY=Wait - Implementation,5.97420390717495
# ACTIVITY=Wait,24.041093658018106
# ACTIVITY=Wait - Vendor,1.6618590059769336
# ACTIVITY=In Call,0.8221820046512222
# ACTIVITY=Wait - Customer,0.4212230262645731
# ACTIVITY=Unmatched,-1.5019945491569768e-05
# ACTIVITY=Cancelled,0.0
