,0
SR_Number,1-694868667
Status,-334.46876487429154
ACTIVITY,67.76699583640126
Involved_ST_Function_Div,-72.05562527343974
Involved_Org_line_3,-184.7006144936398
Involved_ST,20.90777710838928
SR_Latest_Impact,1084.61950025654
Product,67.52747404263438
Country,141.61272528819103
Owner_Country,-276.18713987600046
time_from_start,-590.637857255531
time_from_previous_event(start),-6.59888806842608
daytime,16644.393292028228
weekday,-7.564178808036128
# ACTIVITY=In Progress,4.596257789863192
# ACTIVITY=Awaiting Assignment,44.45422892816278
# ACTIVITY=Resolved,4.926378977927716
# ACTIVITY=Assigned,24.613876693065652
# ACTIVITY=Closed,2.9509300037281108
# ACTIVITY=Wait - User,10.563372398996057
# ACTIVITY=Wait - Implementation,8.843321697453437
# ACTIVITY=Wait,33.07008150704642
# ACTIVITY=Wait - Vendor,1.8800358316134778
# ACTIVITY=In Call,1.0714097031008387
# ACTIVITY=Wait - Customer,0.5388512100333567
# ACTIVITY=Unmatched,-2.729408013367061e-05
# ACTIVITY=Cancelled,0.0
