,0
SR_Number,1-620611187
Status,-294.29973892705726
ACTIVITY,25.136949431020884
Involved_ST_Function_Div,-133.89393097122382
Involved_Org_line_3,-339.5814558128689
Involved_ST,-40.260860960935865
SR_Latest_Impact,1301.5001172687757
Product,-41.80994865470644
Country,515.2257860191304
Owner_Country,-518.6889382675704
time_from_start,-560.3017335556264
time_from_previous_event(start),-5.255509933442717
daytime,16794.540843927047
weekday,-7.429679320196009
# ACTIVITY=In Progress,22.060640267459032
# ACTIVITY=Awaiting Assignment,74.24089977350532
# ACTIVITY=Resolved,7.420115120657458
# ACTIVITY=Assigned,19.943336933877315
# ACTIVITY=Closed,2.6606358113694215
# ACTIVITY=Wait - User,4.333106727669978
# ACTIVITY=Wait - Implementation,4.23830778912582
# ACTIVITY=Wait,31.959007768781895
# ACTIVITY=Wait - Vendor,1.5914676021191125
# ACTIVITY=In Call,0.45601516928669134
# ACTIVITY=Wait - Customer,0.521299085598609
# ACTIVITY=Unmatched,-1.5019945491569768e-05
# ACTIVITY=Cancelled,0.0
