,0
SR_Number,1-708674093
Status,-221.90410082680017
ACTIVITY,34.14649079806216
Involved_ST_Function_Div,-60.92322306724824
Involved_Org_line_3,-174.99765295239607
Involved_ST,-124.60876927584587
SR_Latest_Impact,-644.1568634456714
Product,-300.4830421722162
Country,-22.17495009201313
Owner_Country,-362.18958598269563
time_from_start,-355.8701050151304
time_from_previous_event(start),-10.776706130285785
daytime,14413.643062429517
weekday,-6.889544360963214
# ACTIVITY=In Progress,-62.689620138728266
# ACTIVITY=Awaiting Assignment,-34.97306805269526
# ACTIVITY=Resolved,4.419334839655408
# ACTIVITY=Assigned,25.812935620477333
# ACTIVITY=Closed,2.901547589242449
# ACTIVITY=Wait - User,25.429282003469936
# ACTIVITY=Wait - Implementation,5.890295210366346
# ACTIVITY=Wait,13.769198336781653
# ACTIVITY=Wait - Vendor,1.296371608263431
# ACTIVITY=In Call,0.24839833100600706
# ACTIVITY=Wait - Customer,0.23865971448300025
# ACTIVITY=Unmatched,-1.5173994992854793e-05
# ACTIVITY=Cancelled,0.0
