iter	MAE
0	1460.241248
1	1452.009176
2	1444.040696
3	1437.975516
4	1430.452131
5	1424.1605
6	1416.946838
7	1408.808759
8	1401.050283
9	1396.450075
10	1390.51708
11	1383.918991
12	1376.985859
13	1369.723514
14	1363.297788
15	1355.023156
16	1348.21049
17	1340.794554
18	1335.412023
19	1330.718246
20	1324.79134
21	1320.681327
22	1314.821061
23	1309.519655
24	1305.24844
25	1299.220876
26	1292.595413
27	1285.842673
28	1281.34249
29	1275.525206
30	1268.733141
31	1261.444945
32	1254.995212
33	1250.371148
34	1245.075928
35	1240.622505
36	1234.774761
37	1228.709793
38	1223.327537
39	1217.945785
40	1212.019602
41	1206.700519
42	1200.416113
43	1194.250209
44	1188.199764
45	1182.652045
46	1178.420982
47	1173.664458
48	1167.540328
49	1161.683155
50	1156.836321
51	1151.074459
52	1145.545254
53	1139.864198
54	1133.962509
55	1130.120495
56	1125.011
57	1119.886476
58	1113.59143
59	1107.729587
60	1103.25401
61	1098.666732
62	1094.028915
63	1088.491657
64	1083.472991
65	1078.060131
66	1073.810411
67	1068.752586
68	1063.968692
69	1059.376208
70	1055.686872
71	1049.834484
72	1045.736571
73	1040.918928
74	1036.835958
75	1031.180901
76	1026.243673
77	1021.108555
78	1016.598252
79	1012.422697
80	1010.099188
81	1005.153703
82	1003.284382
83	999.0441123
84	997.3165578
85	992.5228472
86	988.0207109
87	985.0061204
88	979.8706168
89	974.7914885
90	969.9274683
91	966.2087697
92	961.7386591
93	957.2323178
94	954.8017361
95	950.0427787
96	946.6489031
97	942.1422005
98	937.864501
99	935.1570978
100	930.9185473
101	926.5386052
102	923.8168232
103	920.6218181
104	916.4621471
105	913.422417
106	909.4847314
107	905.6363678
108	902.0788295
109	898.3363317
110	894.4221521
111	890.3512567
112	886.9772369
113	883.4031179
114	880.6055046
115	877.543804
116	873.7045477
117	870.1165087
118	866.4146662
119	863.4678111
120	860.1668541
121	857.4457319
122	856.000474
123	852.1217218
124	849.0023552
125	845.7597303
126	842.4447427
127	838.760437
128	835.2928506
129	832.6188513
130	829.1384419
131	827.5538444
132	826.3533833
133	823.1491084
134	821.2906588
135	818.17634
136	816.6152759
137	813.1592467
138	809.905553
139	806.6981
140	803.2705271
141	799.9135184
142	798.6651297
143	796.0081833
144	792.7354217
145	788.7979502
146	785.440552
147	782.957515
148	779.6473507
149	776.6796455
150	774.4041351
151	771.0891841
152	768.9245268
153	766.2198648
154	764.0036373
155	761.7402779
156	759.1222043
157	756.5492094
158	754.0354241
159	752.7023892
160	750.579918
161	747.8319412
162	745.7995295
163	744.2126863
164	741.8157616
165	739.4347357
166	736.6943463
167	734.3148974
168	732.1490824
169	730.0551824
170	727.819886
171	725.2085048
172	723.1086335
173	720.7329823
174	717.9879947
175	715.7966509
176	713.3028148
177	710.8043075
178	708.122416
179	706.234243
180	704.8411139
181	702.2770008
182	699.5043623
183	697.2142696
184	695.678097
185	692.9026329
186	690.2391394
187	688.1931369
188	686.4122371
189	684.5658761
190	682.4456216
191	680.6341189
192	678.4327893
193	676.7888491
194	675.6645142
195	674.841636
196	672.6820973
197	670.6185008
198	668.3588744
199	667.589189
200	665.2110277
201	663.5091064
202	662.2444768
203	660.8740991
204	659.0497183
205	656.7056175
206	654.296647
207	652.1584146
208	650.6011487
209	648.7201831
210	647.2681973
211	645.6676702
212	644.6098948
213	642.966737
214	641.9334339
215	640.4663881
216	638.5250281
217	636.6120364
218	635.2321385
219	633.3786897
220	631.8710839
221	630.4211043
222	628.4355302
223	626.1715137
224	625.2864764
225	623.1747039
226	621.6746474
227	619.4485986
228	617.4743487
229	616.345534
230	614.8293494
231	612.5794295
232	610.4071774
233	608.5495209
234	607.5826336
235	606.319872
236	604.4444565
237	603.3302855
238	602.091905
239	600.2629086
240	599.2796061
241	597.6882325
242	596.4251049
243	595.6831929
244	593.8335986
245	591.5924921
246	590.5594329
247	589.3534164
248	587.9146282
249	586.5367186
250	585.0658752
251	583.959171
252	582.4217555
253	580.8267845
254	579.5981473
255	578.2909707
256	576.5451501
257	575.4672658
258	574.6423722
259	573.7765712
260	572.5136519
261	571.6781696
262	569.6116378
263	567.6721437
264	566.7157099
265	564.6054132
266	562.5718676
267	560.6155719
268	558.8290222
269	556.8969798
270	555.7452371
271	554.9519312
272	552.940373
273	551.5030148
274	550.4979577
275	548.5510881
276	546.5628394
277	544.771845
278	542.6798932
279	541.6462335
280	539.936968
281	538.1839713
282	536.4378613
283	534.7755652
284	533.5906854
285	531.9647155
286	530.7965631
287	528.9268705
288	527.4315444
289	525.8168473
290	524.9727999
291	524.5217693
292	523.2329396
293	521.8399418
294	521.2065407
295	519.6860418
296	518.6747184
297	517.815099
298	516.0271414
299	514.6178933
300	513.1080527
301	512.4877267
302	511.1057453
303	510.3953334
304	508.6395613
305	507.1976282
306	506.2526694
307	505.7232585
308	504.4953448
309	502.9551143
310	501.2673612
311	499.9507208
312	498.383869
313	497.3119026
314	495.8129858
315	495.2144564
316	494.5319579
317	493.2634211
318	491.7914253
319	490.3530323
320	489.8631817
321	488.4170768
322	486.8759961
323	485.6690576
324	484.3032207
325	482.9388704
326	481.6150055
327	480.4661169
328	479.1841953
329	478.004205
330	476.7874318
331	475.4590954
332	474.1706981
333	473.038132
334	471.6916165
335	470.2931896
336	469.1438745
337	468.2138094
338	466.9666379
339	465.7347735
340	465.0036468
341	464.0514896
342	463.2544329
343	462.2211088
344	461.0533018
345	459.8830235
346	458.7120477
347	457.4517181
348	456.1913517
349	455.1789381
350	454.62887
351	453.7512056
352	452.8165646
353	451.98131
354	451.035174
355	450.0579515
356	448.9273563
357	447.9274598
358	446.9504429
359	446.4228258
360	445.5400396
361	444.4578381
362	443.6931952
363	442.8982576
364	441.8328489
365	440.735152
366	439.661472
367	438.8333498
368	438.2696736
369	437.3273601
370	436.1864035
371	435.5595076
372	434.6191037
373	433.8404193
374	432.7666365
375	431.8495814
376	430.8203465
377	429.7073941
378	428.9702046
379	428.1458692
380	427.4075049
381	426.5455799
382	425.5818526
383	424.8088839
384	424.2736574
385	423.3826914
386	422.4996757
387	421.6273486
388	420.7971906
389	419.9237839
390	418.9604322
391	418.2576603
392	417.4391323
393	416.8433881
394	415.9444289
395	415.1726014
396	414.2882445
397	413.5615623
398	413.0355871
399	412.297919
400	411.5335322
401	410.5749443
402	410.0488914
403	409.2872066
404	408.6769125
405	407.8212547
406	407.2550068
407	406.4447989
408	405.5186045
409	404.9757913
410	404.138829
411	403.1779401
412	402.6337247
413	402.1452471
414	401.4476362
415	400.982797
416	400.390447
417	399.6417642
418	398.7973673
419	398.2082924
420	397.3620905
421	396.6252553
422	395.9887467
423	395.340777
424	394.5339263
425	393.9026344
426	393.4946779
427	393.0758614
428	392.4347429
429	392.0461097
430	391.4030654
431	390.6647511
432	390.2540958
433	389.5306143
434	388.8196364
435	388.1718344
436	387.5796115
437	386.9691192
438	386.3637694
439	385.5937953
440	385.1384669
441	384.6229542
442	384.1730391
443	383.6288094
444	383.029938
445	382.4848891
446	381.8644745
447	381.2752882
448	380.8454994
449	380.1797362
450	379.5737799
451	378.9915642
452	378.6100197
453	378.1559935
454	377.9044756
455	377.4726051
456	376.8767134
457	376.4033426
458	375.6727364
459	375.2567588
460	374.5965378
461	374.2878494
462	373.745602
463	373.2497686
464	372.7412895
465	372.2535019
466	371.9956061
467	371.7135249
468	371.2371132
469	370.8658208
470	370.3559641
471	369.8633994
472	369.5354517
473	368.8483789
474	368.3593519
475	367.8379165
476	367.4393923
477	366.8985492
478	366.5015422
479	365.9894163
480	365.610994
481	365.1957106
482	364.8471636
483	364.5958627
484	363.994106
485	363.6577427
486	363.282282
487	363.0649397
488	362.4567183
489	362.1929357
490	361.5663363
